workerid,proliferate.condition,alternation,context_type,elapsed_ms,measurement_type,response,trial_type,window_height,error
16,condition1,A,C14,178065,Sym,1,T2,664,
16,condition1,S,C6,16515,Sym,0,T6,664,
16,condition1,A,C19,11869,Sym,0,T3,664,
16,condition1,A,C12,13755,Sym,0,T6,664,
16,condition1,A,C2,5426,Sym,0,T4,664,
16,condition1,A,C1,8685,Sym,0,T5,664,
16,condition1,S,C4,10237,Sym,0,T1,664,
16,condition1,A,C9,6516,Sym,0,T1,664,
16,condition1,S,C8,8110,Sym,0,T3,664,
16,condition1,A,C18,9470,Sym,0,T4,664,
16,condition1,S,C10,20875,Sym,0,T5,664,
16,condition1,S,C3,3685,Sym,0,T3,664,
16,condition1,A,C17,6651,Sym,0,T5,664,
16,condition1,A,C13,8963,Sym,0,T3,664,
16,condition1,S,C20,11983,Sym,0,T4,664,
16,condition1,A,C11,193255,Sym,0,T6,664,
16,condition1,S,C16,5896,Sym,0,T4,664,
16,condition1,S,C15,8283,Sym,1,T2,664,
16,condition1,S,C7,5718,Sym,0,T5,664,
16,condition1,S,C5,13763,Sym,0,T6,664,
11,condition1,S,C2,17191,Asym_S,0,T3,17,
11,condition1,S,C20,11405,Asym_S,1,T6,17,
11,condition1,S,C4,18973,Asym_S,0,T5,17,
11,condition1,A,C13,15871,Asym_S,1,T6,17,
11,condition1,S,C7,26459,Asym_S,1,T6,17,
11,condition1,S,C10,14345,Asym_S,1,T4,17,
11,condition1,A,C16,14265,Asym_S,1,T4,17,
11,condition1,S,C6,19661,Asym_S,1,T5,17,
11,condition1,A,C14,7846,Asym_S,0,T1,17,
11,condition1,S,C1,5807,Asym_S,1,T2,17,
11,condition1,A,C9,37824,Asym_S,1,T5,17,
11,condition1,A,C17,10127,Asym_S,1,T4,17,
11,condition1,S,C11,10997,Asym_S,0,T3,17,
11,condition1,S,C5,19196,Asym_S,1,T4,17,
11,condition1,A,C3,14208,Asym_S,0,T3,17,
